lefthand,lhdur,righthand,rhdur
0,448,56,224
0,1344,55,224
25,224,56,224
32,224,55,224
37,224,56,224
0,224,51,224
0,448,54,224
20,224,52,224
32,224,49,448
36,224,0,224
0,224,40,224
0,448,44,224
25,224,49,224
32,224,51,448
39,224,0,224
0,224,44,224
0,448,48,224
0,1344,51,224
25,224,52,448
32,224,0,224
37,224,44,224
0,224,56,224
0,448,55,224
20,224,56,224
32,224,55,224
36,224,56,224
0,224,51,224
0,448,54,224
25,224,52,224
32,224,49,448
37,224,0,224
0,672,40,224
28,224,44,224
35,224,49,224
40,224,51,448
0,224,0,224
0,448,44,224
23,224,52,224
35,224,51,224
39,224,49,448
0,224,0,224
0,448,51,224
25,224,52,224
32,224,54,224
37,224,56,672
0,224,47,224
0,448,57,224
20,224,56,224
32,224,54,672
44,224,45,224
0,448,56,224
44,224,54,224
56,224,52,672
0,224,44,224
0,224,54,224
55,224,52,224
56,224,51,448
0,224,0,224
0,224,44,224
55,224,56,224
56,224,0,224
0,224,0,224
0,448,56,224
0,1344,68,224
25,224,0,224
32,224,0,224
37,224,55,224
0,224,56,224
0,448,0,224
20,224,0,224
32,224,55,224
36,224,56,224
0,224,55,224
0,448,56,224
25,224,55,224
32,224,56,224
37,224,51,224
0,224,54,224
0,448,52,224
0,1344,49,448
25,224,0,224
32,224,40,224
37,224,44,224
0,224,49,224
0,448,51,448
20,224,0,224
32,224,44,224
36,224,48,224
0,224,51,224
0,448,52,448
25,224,0,224
32,224,44,224
37,224,56,224
0,224,55,224
0,0,56,224
0,0,55,224
0,0,56,224
0,0,51,224
0,0,54,224
0,0,52,224
0,0,49,448
0,0,0,224
0,0,40,224
0,0,44,224
0,0,49,224
0,0,51,448
0,0,0,224
0,0,44,224
0,0,52,224
0,0,51,224
0,0,49,896
